Comments,Type
វីដេអូ ពេញចឹងមកគេយល់ច្រើនហើយ អញ្ចឹងហើយគេមិនយល់ច្រឡំជេ,0
៣៣៥៥ឆ្កែបើកឡាន,1
ឡានថោកហេីយចរិកអ្នកបេីកថោកទៀត GS,1
នេះជាខួររបស់តួចឹត្តអាក្រក,1
មុខពេទ្យកាល់ម៉ែត្រ,0
ចុះលេាកមិនសម្រាយចឹងតាំងពីដេីមមក យកVDOមួយផ្នែកមកត្រូវដល់អ្នកមេីលរួមទាំងខ្ញុំគ្នាយល់ច្រឡំតាំងខឹងគេ,0
ញុមចង់ជេវាថាអាចុយម្រាយតែខ្លាចវាខឹងចឹងអត់ជេវិញ,1
ខ្ញុំមើលរូបដូចជាមិនសូវអីទេណាស់តើអ្នកអីយាយចង់តែអស់សំណើច,0
អ្នកជេរគេនិងទូលរែកយកទៅ​ អាណិតតួរអង្គឯកណាស់,0
សម្រាយហើយស៊ែរអោយវាមើលផង,0
ប៉ះញុមវិញឡានសួរម៉ង,1
រឿងពិត ឬ រឿង pranks ស្រុកយើងសំបូររឿងចង់បាន view,0
និយាយអធិប្បាយបានល្អណាស់បង។មិនមែនរឿងបណ្ឌិតទេរឿងមែនទែន។,0
គេអាងមានខ្នាយដឹង,0
ត្រូវលូវហើយ,0
សង្គមតែស្ក,0
គេមានលុយបង,0
ឡាននឹងមនុស្សបេីកមែន.?,1
មកពីអូនផុសទី1 ចង់អោយគេជេរ ផុសទី2អូនចង់ធ្វើតួរឯកវិញចប់ទ,0
ប៉ះចំអ្នកកាន់សិល បើប៉ះខ្ញុំវិញ ខ្ញុំអោយវាទៅដាំស្ពៃនៅPC សុីបាយក្រហម,1
បើកកញ្ចក់ស្ដោះទឹកមាត់ដាក់ក្បាលវាមួយ,1
អាមុខនឹង,1
ឆ្កែនាក់បើកនិង,1
ទប់សេីចមិនបាន,0
មកសម្រាយមកដៀលនាក់ខមិន,0
ក្តាន់ពីស្អីនៅមុខពេទ្យកាល់ម៉ែត្រ បើមិនដឹងចេះតែនិយាយហើយប្រូ,0
បងឆ្កែចេះបើកឡានញុមមិនដែលឃើញទេ…,1
ល្អបង,0
អាអ្នកខមមិននឹងអាចុយម្នាត៊យ,1
អាឆ្កួតបេីលឡានអត់ចូលសាលាអញ្ចឹង,1
អ្នកខំមិនហ្នឹងមើលវីដេអូអត់ចប់,0
ឃើញឲ្យជាក់សឹងញាក់ចិញ្ចើម,0
ចង់ជេអាឡាន 2T 3355 នឹងថាអាឆ្កែតែខ្ញុំដូចជាក្រែងចិត្តបន្តិច,1
មានឡានជិះហើយនៅថោកទាប,1
អាខ្មៅហ្នឹងខូចមង់,0
អានេះវាមិនដែលឃើញសន្ទះក្បាលជាប់ក្រចក់ឡានវាដឺតែចឹង,1
ខ្ញុំមើលវីដេអូម្ដងៗមិនថាវីដេអូពេលណាទេដល់ផ្ទះភ្នែកហ្នឹងអាអញ្ចឹងៗម៉ងសំណាងអត់ប៉ះខ្ញុំប៉ះខ្ញុំបុកហ្អែងថែមអីបោះលុយកណ្តាលមុខបណ្តោយ។,1
បើសិបខ្ញុំមានឡាន ប៉ះខ្ញុំវិញបុកហើយគ្មានទុកទេ,1
មើលម៉េចឃើញនៅក្ដាន់ពីរ នៅមុខពេទ្យកាល់ម៉ែត្រឱ្យច្បាស់,0
អ្នកមើល vdo មុនមួយចំនួន..,0
មានវីឌីអូដើមទេបង,0
ម៉ាអាឆ្កែ,1
ខ្ញុំគ្រាន់តែមើលតាមវីដេអូបោកទូរសព្ទខូចអស់មួយហើយ សូមសរសើរចិត្តតួឯកយើងមែន,0
សំណាងហើយឡានតូចដូចគ្នាប៉ះឡានអញវិញ,1
បើកដូចអត់បានរៀនបើកបរ,0
មិនវារៀនបើកបរនៅសាលាណាទេ,0
